타임스탬프,제일 영양가 있다고 생각하는 채소는?/ Which vegetable do you think is the most nutritious?/ Theo bạn loại rau nào bổ dưỡng nhất?,점수
2024. 6. 6 오전 9:29:06,,
2024. 6. 6 오전 9:29:14,"초록색 계열의 채소(시금치, 브로콜리, 깻잎 등)",
2024. 6. 6 오전 9:29:15,,
2024. 6. 6 오전 9:29:48,"빨간색 계열의 채소(토마토, 파프리카 등)",
2024. 6. 6 오전 9:35:27,"초록색 계열의 채소(시금치, 브로콜리, 깻잎 등)",
2024. 6. 6 오전 10:02:53,"초록색 계열의 채소(시금치, 브로콜리, 깻잎 등)",
2024. 6. 6 오전 10:40:41,"초록색 계열의 채소(시금치, 브로콜리, 깻잎 등)",
2024. 6. 6 오전 10:55:43,"초록색 계열의 채소(시금치, 브로콜리, 깻잎 등)",
2024. 6. 7 오후 8:49:00,"초록색 계열의 채소(시금치, 브로콜리, 깻잎 등)",
2024. 6. 7 오후 9:05:04,"초록색 계열의 채소(시금치, 브로콜리, 깻잎 등)",
2024. 6. 8 오후 6:59:24,"초록색 계열의 채소(시금치, 브로콜리, 깻잎 등)",
2024. 6. 9 오전 12:00:43,"초록색 계열의 채소(시금치, 브로콜리, 깻잎 등)",
2024. 6. 9 오후 9:18:36,"보라색 계열의 채소(적색 양배추, 가지 등)",
2024. 6. 9 오후 9:19:39,"초록색 계열의 채소(시금치, 브로콜리, 깻잎 등)",
2024. 6. 9 오후 9:21:16,"초록색 계열의 채소(시금치, 브로콜리, 깻잎 등)",
2024. 6. 9 오후 9:21:38,"빨간색 계열의 채소(토마토, 파프리카 등)",
2024. 6. 9 오후 9:24:03,"초록색 계열의 채소(시금치, 브로콜리, 깻잎 등)",
2024. 6. 9 오후 9:25:11,"초록색 계열의 채소(시금치, 브로콜리, 깻잎 등)",
2024. 6. 9 오후 9:28:00,"노란색 계열의 채소(호박, 생강 등)",
2024. 6. 9 오후 9:29:24,"주황색 계열의 채소(당근, 단호박 등)",
2024. 6. 9 오후 9:30:00,"초록색 계열의 채소(시금치, 브로콜리, 깻잎 등)",
2024. 6. 9 오후 9:30:54,"초록색 계열의 채소(시금치, 브로콜리, 깻잎 등)",
